               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,           0.0081933,           0.0034384,            0.029782,             0.33333,                   1,              0.3694,              0.3694,            0.001505,           0.0016456,            0.011526,             0.00632,             0.00632,             0.00632
                  48,           0.0087227,           0.0031653,            0.030242,             0.33333,                   1,              0.3772,              0.3772,          0.00070391,           0.0014733,            0.011527,             0.00624,             0.00624,             0.00624
                  49,           0.0086508,           0.0032463,            0.029474,             0.33333,                   1,             0.35841,             0.35841,           0.0013297,          0.00076614,            0.011508,             0.00616,             0.00616,             0.00616
                  50,           0.0074699,           0.0032636,             0.02843,             0.33279,                   1,              0.3744,              0.3744,           0.0011889,           0.0015856,            0.011451,             0.00608,             0.00608,             0.00608
                  51,           0.0067981,           0.0031941,            0.028794,             0.33333,                   1,             0.36209,             0.36209,           0.0020794,           0.0012324,            0.011397,               0.006,               0.006,               0.006
                  52,           0.0085918,           0.0030659,            0.029326,             0.33333,                   1,             0.38537,             0.38537,          0.00075289,             0.00177,            0.011414,             0.00592,             0.00592,             0.00592
                  53,           0.0087427,           0.0031211,            0.030722,             0.33333,                   1,             0.37352,             0.37352,           0.0032269,           0.0010529,            0.011423,             0.00584,             0.00584,             0.00584
                  54,           0.0069515,           0.0028993,            0.028914,             0.33333,                   1,              0.3626,              0.3626,          0.00068332,           0.0007803,            0.011453,             0.00576,             0.00576,             0.00576
                  55,           0.0083979,           0.0030689,            0.029197,             0.33333,                   1,             0.36663,             0.36663,           0.0015926,           0.0015427,            0.011447,             0.00568,             0.00568,             0.00568
                  56,           0.0072061,            0.003187,            0.030358,             0.33333,                   1,             0.37117,              0.3703,           0.0012556,           0.0021466,            0.011401,              0.0056,              0.0056,              0.0056
                  57,           0.0075328,           0.0030949,            0.029885,             0.33304,                   1,             0.37407,             0.37407,           0.0013916,           0.0014343,            0.011427,             0.00552,             0.00552,             0.00552
                  58,           0.0073257,           0.0031676,             0.03047,             0.33333,                   1,             0.36623,             0.36623,          0.00098806,           0.0013716,            0.011493,             0.00544,             0.00544,             0.00544
                  59,           0.0061177,           0.0029856,            0.029509,             0.33333,                   1,             0.37046,             0.37046,           0.0017025,           0.0019661,            0.011487,             0.00536,             0.00536,             0.00536
                  60,           0.0078147,           0.0029486,            0.030549,             0.33333,                   1,             0.36544,             0.36544,          0.00064359,             0.00165,            0.011452,             0.00528,             0.00528,             0.00528
                  61,           0.0071408,            0.002948,            0.029957,             0.33333,                   1,             0.37277,             0.37277,          0.00047831,           0.0026517,            0.011449,              0.0052,              0.0052,              0.0052
                  62,           0.0068851,           0.0027614,            0.030097,             0.33333,                   1,             0.36511,             0.36511,           0.0016632,           0.0023781,             0.01142,             0.00512,             0.00512,             0.00512
                  63,           0.0093421,           0.0030983,            0.033071,             0.33278,                   1,             0.37573,             0.37573,          0.00086044,           0.0012826,            0.011447,             0.00504,             0.00504,             0.00504
                  64,            0.006522,           0.0028429,            0.029069,             0.33333,                   1,             0.37527,             0.37527,           0.0023735,           0.0010163,            0.011471,             0.00496,             0.00496,             0.00496
                  65,           0.0060992,           0.0028219,            0.028288,             0.33333,                   1,             0.37453,             0.37453,           0.0010268,           0.0018008,            0.011469,             0.00488,             0.00488,             0.00488
                  66,           0.0058528,           0.0027977,            0.027846,             0.33333,                   1,             0.36731,             0.36731,           0.0010566,           0.0018039,            0.011442,              0.0048,              0.0048,              0.0048
                  67,            0.007646,           0.0028331,            0.031401,             0.33333,                   1,             0.36697,             0.36697,          0.00086109,           0.0016834,            0.011426,             0.00472,             0.00472,             0.00472
                  68,           0.0075764,           0.0028638,             0.03119,             0.33333,                   1,             0.37158,             0.37158,          0.00075787,           0.0014652,            0.011428,             0.00464,             0.00464,             0.00464
                  69,           0.0052158,           0.0026585,            0.028317,             0.33333,                   1,              0.3697,              0.3697,          0.00086303,           0.0015229,            0.011417,             0.00456,             0.00456,             0.00456
